iter	Passed	Remaining
1028	12900	12172
1029	12926	12173
1030	12933	12155
1031	12936	12134
1032	12940	12113
1033	12956	12104
1034	12975	12097
1035	12979	12077
1036	12982	12056
1037	13002	12050
1038	13008	12032
1039	13012	12011
1040	13015	11990
1041	13034	11983
1042	13037	11962
1043	13050	11950
1044	13059	11934
1045	13062	11913
1046	13078	11904
1047	13093	11893
1048	13097	11873
1049	13112	11863
1050	13115	11842
1051	13121	11824
1052	13127	11806
1053	13130	11785
1054	13136	11767
1055	13151	11756
1056	13155	11736
1057	13166	11722
1058	13172	11704
1059	13190	11697
1060	13194	11677
1061	13197	11656
1062	13206	11641
1063	13221	11630
1064	13241	11624
1065	13245	11605
1066	13251	11587
1067	13272	11581
1068	13287	11571
1069	13301	11560
1070	13317	11551
1071	13327	11536
1072	13330	11516
1073	13339	11501
1074	13343	11481
1075	13361	11473
1076	13365	11453
1077	13380	11444
1078	13399	11437
1079	13402	11417
1080	13438	11424
1081	13442	11405
1082	13448	11387
1083	13452	11367
1084	13455	11347
1085	13458	11327
1086	13462	11307
1087	13477	11297
1088	13481	11277
1089	13484	11257
1090	13488	11238
1091	13491	11218
1092	13509	11210
1093	13528	11203
1094	13536	11187
1095	13542	11169
1096	13566	11167
1097	13585	11160
1098	13589	11140
1099	13603	11130
1100	13623	11123
1101	13642	11117
1102	13646	11097
1103	13649	11077
1104	13652	11058
1105	13673	11052
1106	13709	11059
1107	13736	11058
1108	13742	11040
1109	13762	11034
1110	13791	11035
1111	13810	11028
1112	13817	11011
1113	13843	11010
1114	13850	10993
1115	13859	10978
1116	13884	10976
1117	13897	10963
1118	13930	10967
1119	13943	10955
1120	13946	10936
1121	13952	10918
1122	13972	10911
1123	13979	10895
1124	13999	10888
1125	14026	10887
1126	14044	10879
1127	14056	10866
1128	14066	10851
1129	14085	10844
1130	14114	10845
1131	14130	10834
1132	14155	10832
1133	14165	10817
1134	14180	10807
1135	14187	10790
1136	14199	10777
1137	14206	10760
1138	14225	10753
1139	14228	10734
1140	14248	10726
1141	14251	10707
1142	14275	10703
1143	14287	10690
1144	14290	10671
1145	14312	10665
1146	14331	10658
1147	14335	10639
1148	14355	10632
1149	14361	10615
1150	14367	10598
1151	14379	10585
1152	14403	10581
1153	14410	10564
1154	14429	10556
1155	14433	10537
1156	14436	10518
1157	14439	10499
1158	14458	10491
1159	14465	10474
1160	14495	10475
1161	14502	10458
1162	14524	10453
1163	14529	10434
1164	14532	10416
1165	14555	10410
1166	14560	10393
1167	14567	10377
1168	14580	10364
1169	14587	10348
1170	14627	10355
1171	14647	10348
1172	14655	10332
1173	14667	10319
1174	14700	10321
1175	14727	10319
1176	14751	10314
1177	14776	10311
1178	14800	10306
1179	14809	10291
1180	14813	10272
1181	14839	10269
1182	14860	10262
1183	14879	10254
1184	14882	10235
1185	14909	10232
1186	14925	10223
1187	14943	10213
1188	14946	10195
1189	14956	10180
1190	14985	10178
1191	15004	10171
1192	15008	10152
1193	15011	10133
1194	15016	10115
1195	15022	10098
1196	15044	10092
1197	15061	10083
1198	15071	10068
1199	15076	10050
1200	15083	10034
1201	15114	10034
1202	15134	10026
1203	15137	10008
1204	15153	9997
1205	15156	9978
1206	15182	9974
1207	15216	9976
1208	15223	9959
1209	15235	9947
1210	15246	9933
1211	15253	9917
1212	15256	9898
1213	15301	9906
1214	15314	9894
1215	15333	9886
1216	15353	9878
1217	15394	9883
1218	15400	9867
1219	15404	9848
1220	15414	9834
1221	15417	9815
1222	15421	9797
1223	15424	9778
1224	15430	9762
1225	15448	9752
1226	15467	9744
1227	15502	9745
1228	15522	9738
1229	15536	9725
1230	15569	9726
1231	15611	9731
1232	15614	9713
1233	15633	9704
1234	15640	9688
1235	15646	9671
1236	15665	9662
1237	15686	9655
1238	15702	9644
1239	15706	9626
1240	15709	9608
1241	15728	9599
1242	15748	9590
1243	15755	9574
1244	15762	9558
1245	15781	9550
1246	15788	9533
1247	15810	9526
1248	15841	9525
1249	15848	9509
1250	15857	9494
1251	15870	9481
1252	15889	9472
1253	15910	9464
1254	15929	9456
1255	15936	9440
1256	15943	9423
1257	15949	9407
1258	15953	9389
1259	15960	9373
1260	15963	9355
1261	15973	9341
1262	16009	9342
1263	16020	9328
1264	16046	9323
1265	16078	9322
1266	16091	9309
1267	16118	9304
1268	16121	9286
1269	16154	9285
1270	16160	9269
1271	16167	9253
1272	16185	9243
1273	16189	9225
1274	16195	9209
1275	16216	9201
1276	16220	9183
1277	16264	9188
1278	16275	9174
1279	16282	9158
1280	16294	9146
1281	16313	9136
1282	16332	9127
1283	16350	9117
1284	16369	9108
1285	16373	9090
1286	16395	9083
1287	16416	9075
1288	16445	9071
1289	16458	9058
1290	16465	9042
1291	16503	9043
1292	16523	9034
1293	16530	9019
1294	16536	9002
1295	16546	8987
1296	16549	8970
1297	16567	8960
1298	16586	8950
1299	16605	8941
1300	16609	8923
1301	16620	8910
1302	16635	8898
1303	16669	8897
1304	16675	8881
1305	16682	8864
1306	16694	8851
1307	16700	8835
1308	16717	8825
1309	16737	8815
1310	16740	8798
1311	16750	8783
1312	16769	8774
1313	16789	8765
1314	16792	8747
1315	16796	8729
1316	16810	8718
1317	16813	8700
1318	16833	8691
1319	16837	8673
1320	16857	8665
1321	16867	8650
1322	16887	8641
1323	16907	8632
1324	16944	8631
1325	16947	8614
1326	16954	8598
1327	16975	8590
1328	16982	8574
1329	17002	8565
1330	17021	8555
1331	17030	8540
1332	17048	8530
1333	17069	8521
1334	17072	8504
1335	17090	8494
1336	17109	8484
1337	17115	8468
1338	17119	8450
1339	17152	8448
1340	17164	8434
1341	17182	8425
1342	17198	8413
1343	17216	8403
1344	17229	8390
1345	17242	8377
1346	17253	8364
1347	17321	8377
1348	17336	8366
1349	17347	8352
1350	17371	8345
1351	17394	8337
1352	17418	8329
1353	17442	8322
1354	17470	8316
1355	17473	8298
1356	17477	8281
1357	17503	8274
1358	17527	8267
1359	17553	8260
1360	17582	8254
1361	17602	8245
1362	17606	8228
1363	17609	8210
1364	17618	8196
1365	17642	8188
1366	17654	8175
1367	17673	8164
1368	17679	8148
1369	17683	8131
1370	17703	8122
1371	17727	8114
1372	17751	8106
1373	17755	8089
1374	17778	8081
1375	17800	8072
1376	17811	8058
1377	17814	8041
1378	17818	8024
1379	17821	8006
1380	17834	7994
1381	17856	7985
1382	17879	7976
1383	17909	7971
1384	17930	7962
1385	17954	7954
1386	17961	7938
1387	17977	7926
1388	17980	7909
1389	17990	7895
1390	18010	7885
1391	18024	7872
1392	18034	7858
1393	18040	7842
1394	18060	7832
1395	18070	7818
1396	18075	7801
1397	18099	7794
1398	18104	7777
1399	18117	7764
1400	18131	7752
1401	18135	7735
1402	18138	7718
1403	18145	7702
1404	18149	7685
1405	18156	7670
1406	18168	7657
1407	18190	7648
1408	18213	7639
1409	18237	7631
1410	18244	7615
1411	18247	7598
1412	18264	7587
1413	18270	7571
1414	18286	7559
1415	18307	7550
1416	18314	7535
1417	18317	7518
1418	18326	7503
1419	18351	7495
1420	18354	7478
1421	18373	7468
1422	18389	7456
1423	18402	7443
1424	18406	7427
1425	18416	7412
1426	18435	7402
1427	18455	7392
1428	18459	7376
1429	18471	7362
1430	18491	7352
1431	18502	7338
1432	18522	7328
1433	18528	7313
1434	18548	7303
1435	18568	7292
1436	18589	7283
1437	18608	7272
1438	18629	7262
1439	18635	7247
1440	18657	7237
1441	18663	7222
1442	18682	7211
1443	18686	7195
1444	18699	7182
1445	18705	7166
1446	18724	7155
1447	18743	7145
1448	18758	7133
1449	18783	7124
1450	18802	7114
1451	18808	7098
1452	18828	7088
1453	18848	7077
1454	18867	7067
1455	18894	7059
1456	18898	7043
1457	18917	7032
1458	18935	7021
1459	18942	7006
1460	18948	6990
1461	18964	6978
1462	18968	6962
1463	18971	6945
1464	18979	6931
1465	18997	6920
1466	19017	6909
1467	19035	6898
1468	19057	6888
1469	19077	6878
1470	19096	6867
1471	19120	6858
1472	19139	6847
1473	19183	6845
1474	19202	6834
1475	19221	6824
1476	19242	6813
1477	19246	6797
1478	19249	6780
1479	19268	6769
1480	19286	6758
1481	19304	6747
1482	19323	6736
1483	19344	6726
1484	19363	6715
1485	19367	6698
1486	19373	6683
1487	19393	6673
1488	19413	6662
1489	19416	6645
1490	19434	6634
1491	19443	6620
1492	19453	6605
1493	19481	6598
1494	19500	6587
1495	19519	6575
1496	19531	6562
1497	19550	6551
1498	19568	6540
1499	19572	6524
1500	19575	6507
1501	19581	6492
1502	19590	6477
1503	19608	6466
1504	19626	6455
1505	19645	6444
1506	19665	6433
1507	19678	6420
1508	19681	6403
1509	19687	6388
1510	19705	6377
1511	19724	6366
1512	19743	6354
1513	19762	6343
1514	19768	6328
1515	19780	6315
1516	19799	6303
1517	19818	6292
1518	19852	6286
1519	19871	6275
1520	19891	6264
1521	19898	6249
1522	19921	6239
1523	19956	6233
1524	19963	6218
1525	19982	6206
1526	19985	6190
1527	20007	6180
1528	20026	6168
1529	20045	6157
1530	20064	6146
1531	20095	6138
1532	20114	6127
1533	20126	6113
1534	20157	6106
1535	20175	6094
1536	20194	6083
1537	20214	6072
1538	20234	6061
1539	20247	6047
1540	20265	6036
1541	20285	6025
1542	20303	6013
1543	20339	6006
1544	20358	5995
1545	20377	5983
1546	20408	5976
1547	20420	5962
1548	20449	5953
1549	20467	5942
1550	20477	5927
1551	20485	5913
1552	20503	5901
1553	20519	5889
1554	20538	5877
1555	20542	5861
1556	20560	5849
1557	20579	5838
1558	20592	5824
1559	20610	5813
1560	20634	5803
1561	20654	5791
1562	20682	5782
1563	20701	5771
1564	20711	5756
1565	20729	5744
1566	20747	5733
1567	20766	5721
1568	20784	5709
1569	20797	5696
1570	20815	5684
1571	20835	5672
1572	20841	5657
1573	20860	5645
1574	20879	5634
1575	20898	5622
1576	20931	5614
1577	20950	5602
1578	20970	5591
1579	20989	5579
1580	20998	5565
1581	21017	5553
1582	21031	5540
1583	21052	5528
1584	21070	5516
1585	21102	5508
1586	21121	5496
1587	21140	5484
1588	21159	5472
1589	21178	5461
1590	21199	5449
1591	21210	5435
1592	21229	5423
1593	21232	5408
1594	21252	5396
1595	21272	5384
1596	21302	5375
1597	21318	5362
1598	21327	5348
1599	21342	5335
1600	21361	5323
1601	21392	5314
1602	21417	5304
1603	21437	5292
1604	21464	5282
1605	21485	5271
1606	21510	5260
1607	21530	5248
1608	21543	5235
1609	21563	5223
1610	21585	5212
1611	21607	5200
1612	21655	5195
1613	21670	5182
1614	21694	5171
1615	21716	5160
1616	21739	5149
1617	21760	5137
1618	21781	5125
1619	21791	5111
1620	21800	5097
1621	21816	5084
